speciescode,speciename
fibwar1,Horornis ruficapilla
ruhgoo1,Chloephaga rubidiceps
dottan1,Ixothraupis varia
yectyr1,Tyrannulus elatus
thstch1,Tchagra jamesi
rerwoo1,Dryobates kirkii
mourob1,Turdus plebejus
whtpew1,Contopus albogularis
bulori,Icterus bullockii
grecat1,Ailuroedus crassirostris
yeltit2,Machlolophus holsti
maushe1,Alopochen mauritiana
comhom1,Delichon urbicum
causno1,Tetraogallus caucasicus
auscan1,Asthenes anthoides
robqua1,Perdicula argoondah
litwoo4,Artamus minor
descis1,Cisticola aridulus
blbscy1,Campylorhamphus falcularius
eclpar3,Eclectus riedeli
pittwi1,Hypargos margaritatus
pirfly1,Legatus leucophaius
blcwoo5,Celeus ochraceus
reccou3,Coua olivaceiceps
blawoo1,Dryocopus martius
wilant1,Cercomacroides laeta
shtfro2,Batrachostomus mixtus
azrtan1,Poecilostreptus cabanisi
whfant4,Formicivora intermedia
yelpip3,Anthus peruvianus
brubru1,Nilaus afer
burjuf1,Eumyias additus
sumbab1,Pellorneum buettikoferi
islmon1,Monarcha cinerascens
palfly2,Agricola pallidus
grnava1,Amandava formosa
blafan1,Rhipidura atra
vanfly1,Myiagra vanikorensis
whbfog1,Anabacerthia amaurotis
surtro1,Trogon surrucura
islthr48,Turdus bougainvillei
tansta1,Aplonis crassa
scaswi1,Schoutedenapus myoptilus
legrob1,Amalocichla incerta
whveup1,Euphonia minuta
greaki4,Akialoa stejnegeri
houcro1,Corvus splendens
slafin1,Haplospiza rustica
bltbob1,Colinus nigrogularis
lebcou1,Centropus bernsteini
litswi1,Apus affinis
jasowl1,Otus semitorques
refbar1,Lybius rubrifacies
blatap2,Scytalopus intermedius
corfin1,Carduelis corsicana
lebber1,Melanocharis longicauda
gymwre1,Odontorchilus branickii
rocpra1,Glareola nuchalis
scbthr,Allenia fusca
brarub1,Heliodoxa rubricauda
rubcra1,Zapornia fusca
blkmag1,Platysmurus leucopterus
chtapa2,Apalis kaboboensis
sunhon1,Lichmera lombokia
swahaw,Buteo swainsoni
eatpin1,Anas eatoni
bkcbul4,Rubigula montis
bopphe1,Polyplectron schleiermacheri
sunlau1,Garrulax palliatus
eaosun1,Cyanomitra olivacea
magpen1,Spheniscus magellanicus
jacbuz1,Buteo rufofuscus
elepit6,Pitta vigorsii
rocpet1,Petronia petronia
sctnig2,Hydropsalis torquata
shtswi1,Chaetura brachyura
clanut,Nucifraga columbiana
troshe4,Puffinus bannermani
chbwre2,Cyphorhinus dichrous
mouwar4,Phylloscopus nigrorum
asiope1,Anastomus oscitans
spblap1,Vanellus melanocephalus
alagre1,Tachybaptus rufolavatus
weowar1,Iduna opaca
flfbar1,Psilopogon armillaris
pltcot1,Cotinga maynana
taifis1,Lanius dorsalis
moubuz2,Buteo oreophilus
shcfly1,Myiarchus ferox
bugtan,Thraupis episcopus
spipig2,Geophaps plumifera
astfly,Myiarchus cinerascens
blutit,Cyanistes caeruleus
grtcha1,Granatellus sallaei
siehon1,Lichmera alboauricularis
whrsha16,Copsychus stricklandii
brbnee1,Hirundapus giganteus
slcbou1,Laniarius funebris
mexjay3,Aphelocoma ultramarina
orcfly1,Myiophobus phoenicomitra
rebhor1,Tockus erythrorhynchus
comrav,Corvus corax
perwre1,Cinnycerthia peruana
buswid1,Euplectes psammacromius
blcchl1,Chlorophonia occipitalis
shefra1,Scleroptila shelleyi
spemon10,Symposiachrus melanopterus
comnew1,Newtonia brunneicauda
sulcud2,Turacoena sulaensis
shyhea1,Hylacola cauta
rbwfin1,Poospiza rubecula
ybfdov2,Ptilinopus occipitalis
renfan1,Rhipidura rennelliana
sedwre1,Cistothorus stellaris
turtan1,Tangara mexicana
bkbcus2,Edolisoma montanum
galhaw1,Buteo galapagoensis
ruwspa,Peucaea carpalis
rehwoo,Melanerpes erythrocephalus
humphe1,Syrmaticus humiae
sugdov1,Gallicolumba tristigmata
shtcou1,Centropus rectunguis
whhmou1,Colius leucocephalus
agitit1,Uromyias agilis
tuasan1,Prosobonia parvirostris
fotfly,Tyrannus savana
crtwhe1,Zosterops atriceps
sulhor1,Rhabdotorrhinus exarhatus
bktpri2,Prinia khasiana
forrot2,Monticola sharpei
rucrob1,Turdus rufitorques
gloflo1,Diglossa lafresnayii
butsic1,Eutoxeres condamini
engthr1,Geokichla leucolaema
soioys1,Haematopus finschi
andnig1,Caprimulgus andamanicus
bawkin1,Todiramphus diops
schman1,Ceratopipra cornuta
blaori1,Oriolus hosii
pabher1,Phaethornis anthophilus
grylon1,Macrosphenus concolor
olshon1,Ptiloprora meekiana
visrha1,Rhabdornis rabori
rocwre,Salpinctes obsoletus
blttro1,Trogon melanurus
balori,Icterus galbula
chewea1,Ploceus rubiginosus
alddro1,Dicrurus aldabranus
ciftyr1,Phylloscartes parkeri
orbant1,Terenura sicki
plsfin1,Geospizopsis unicolor
crheag1,Stephanoaetus coronatus
whbtap1,Eleoscytalopus indigoticus
nebtap1,Scytalopus altirostris
yelcar1,Gubernatrix cristata
scbant2,Grallaricula loricata
audshe3,Puffinus subalaris
nohcuc1,Hierococcyx hyperythrus
sposta1,Sturnus unicolor
gofgre1,Pachysylvia aurantiifrons
kerlau2,Montecincla fairbanki
whwwid1,Euplectes albonotatus
gorwoo2,Chaetocercus heliodor
saccoc,Cacatua moluccensis
samtap1,Scytalopus sanctaemartae
darter4,Anhinga novaehollandiae
rnfdov1,Ptilinopus dohertyi
slbfor1,Enicurus schistaceus
plaxen2,Xenops mexicanus
wartro1,Harpactes wardi
slbtin1,Crypturellus boucardi
stitch1,Notiomystis cincta
moctyr4,Nesotriccus maranonicus
glamac1,Anodorhynchus glaucus
comfla1,Dinopium javanense
meapar,Amazona farinosa
lobsta1,Heliomaster longirostris
gilwhi1,Pachycephala inornata
tanfin1,Oreothraupis arremonops
blhpar1,Pionus menstruus
invrai1,Gallirallus wallacii
norbob,Colinus virginianus
whlant2,Myrmothera fulviventris
eursco3,Otus cyprius
monwoo1,Lepidocolaptes lacrymiger
rubsti1,Epinecrophylla haematonota
blcjay2,Cyanolyca armillata
latnig2,Caprimulgus macrurus
tiipig1,Ducula cineracea
chptit1,Remiz consobrinus
banpit2,Hydrornis guajanus
blanun1,Monasa atra
sccbab1,Malacopteron cinereum
permea1,Leistes bellicosus
gybmun1,Lonchura vana
rumfly1,Myiozetetes cayanensis
fulcha1,Argya fulva
brlwar1,Phylloscopus subviridis
forela1,Myiopagis gaimardii
yercac1,Cacicus cela
souscr1,Chauna torquata
peflov,Agapornis roseicollis
ocefly1,Myiagra oceanica
blbkin4,Halcyon malimbica
faifly1,Stenostira scita
elesun1,Aethopyga duyvenbodei
cincon1,Conirostrum cinereum
blhcou2,Centropus monachus
purjay1,Cyanocorax cyanomelas
afrcuc1,Cuculus gularis
kinpen1,Aptenodytes patagonicus
whbcou3,Centropus burchellii
palhor5,Furnarius longirostris
acrtot1,Hemitriccus cohnhafti
knywoo1,Campethera notata
rorant2,Myrmelastes saturatus
bkbmag1,Pica hudsonia
bunwoo1,Meiglyptes tukki
molfly1,Myiagra galeata
jerbus2,Plocealauda affinis
whtman1,Corapipo gutturalis
comgon1,Laniarius barbarus
phihap1,Loriculus philippensis
bkhbat2,Batis minor
whrrob2,Melanodryas bimaculata
rufpar1,Bolborhynchus ferrugineifrons
lagbab2,Argya malcolmi
pitbri1,Heliodoxa gularis
soulap1,Vanellus chilensis
nafspi1,Arachnothera clarae
weywea1,Ploceus weynsi
biskin1,Ceyx websteri
btttyr1,Hemitriccus granadensis
shicow,Molothrus bonariensis
redrai1,Aphanapteryx bonasia
solboo3,Athene malaitae
wallcr1,Tichodroma muraria
fernwr1,Oreoscopus gutturalis
spbsan1,Calidris pygmaea
sancra,Antigone canadensis
blmtho1,Chalcostigma stanleyi
harlew1,Phylloscopus goodsoni
whtcot1,Xipholena lamellipennis
malia1,Malia grata
scathr2,Zoothera aurea
mofsco1,Megascops hoyi
verfly4,Eumyias thalassinus
swirai1,Coturnicops exquisitus
tiblar1,Melanocorypha maxima
daured1,Phoenicurus auroreus
razorb,Alca torda
suncus1,Coracina larvata
litbit1,Botaurus minutus
flsjay,Aphelocoma coerulescens
ameavo,Recurvirostra americana
uniant1,Myrmotherula unicolor
stbbit1,Botaurus involucris
asbspi1,Cranioleuca curtata
olshum1,Talaphorus chlorocercus
stftho1,Phacellodomus striaticeps
ducgre1,Pachysylvia hypoxantha
copkin1,Tanysiptera galatea
cercus1,Coracina temminckii
runpuf1,Malacoptila rufa
sohmyn1,Gracula indica
galmar1,Progne modesta
bamant1,Cymbilaimus sanctaemariae
wrbfin1,Atlapetes leucopis
gropar1,Pezoporus wallicus
gyhchi,Poecile cinctus
cardov1,Leptotila jamaicensis
peacoq1,Lophornis pavoninus
sammoo1,Gallinula pacifica
charob1,Petroica traversi
natsta1,Poeoptera lugubris
tesfly1,Fraseria tessmanni
babsta1,Neocichla gutturalis
gycbul2,Alophoixus tephrogenys
tatspi1,Sylviorthorhynchus yanacensis
wilfly,Empidonax traillii
rufmon1,Symposiachrus rubiensis
grgrob1,Amalocichla sclateriana
laplon,Calcarius lapponicus
reusco1,Otus grucheti
milmac,Ara militaris
chirav,Corvus cryptoleucus
javkin1,Halcyon cyanoventris
seypar1,Coracopsis barklyi
blemin1,Manorina melanotis
rhptyr1,Pseudotriccus ruficeps
trpgua1,Pipile pipile
gyfhon1,Ptilotula plumula
socwea1,Philetairus socius
lotsco1,Megascops sanctaecatarinae
crcbab1,Cyanoderma melanothorax
pernut1,Sitta tephronota
cigdov2,Gallicolumba rufigula
sthwoo1,Lepidocolaptes souleyetii
palros3,Carpodacus stoliczkae
spofan1,Rhipidura perlata
noccur1,Nothocrax urumutum
shawre1,Cinnycerthia olivascens
lobcro1,Corvus validus
palcro1,Corvus palmarum
blbsee3,Amaurospiza moesta
duspig2,Patagioenas goodsoni
nicpar1,Psittacula caniceps
bakind1,Vidua larvaticola
strpri8,Prinia striata
chigra1,Graminicola striatus
rushon1,Ptiloprora erythropleura
slbcro12,Corvus celebensis
hapwre1,Pheugopedius felix
palwar1,Myiothlypis signata
rusant1,Thamnistes anabatinus
olrgul1,Larus atlanticus
beathk1,Esacus magnirostris
sctlea1,Sclerurus guatemalensis
sthsee2,Crithagra gularis
rvpfly1,Terpsiphone rufocinerea
bkcchi,Poecile atricapillus
easbri1,Dasyornis brachypterus
rucbab1,Cyanoderma ruficeps
tacfly1,Aphanotriccus capitalis
chhwrb1,Spelaeornis oatesi
wheimp1,Ducula neglecta
whbtri1,Lalage moesta
whftit2,Sittiparus semilarvatus
rubkoo1,Dacelo gaudichaud
whwmag1,Urocissa whiteheadi
mouchi2,Phylloscopus sindianus
moorew1,Acrocephalus longirostris
rrwfin1,Microspingus lateralis
citcaf1,Culicicapa helianthea
antnig,Chordeiles gundlachii
yemlin1,Linaria yemenensis
eurser1,Serinus serinus
babcus1,Coracina striata
biccon1,Conirostrum bicolor
aussho1,Spatula rhynchotis
royspo1,Platalea regia
kensta1,Poeoptera kenricki
spnbul1,Pycnonotus tympanistrigus
scbbul1,Rubigula squamata
dunlar5,Calendulauda erythrochlamys
blchon2,Melithreptus gularis
soleag1,Buteogallus solitarius
luebus1,Laniarius luehderi
spahon1,Melipotes ater
rutatt1,Attila phoenicurus
renwhi1,Pachycephala feminina
giacou1,Coua gigas
graela1,Elaenia fallax
soushr2,Clytorhynchus pachycephaloides
stttyr1,Alectrurus risora
castit2,Poecile hyrcanus
slmgos1,Tachyspiza luteoschistacea
gyhcus1,Edolisoma schisticeps
strfan5,Rhipidura verreauxi
ovaspa2,Accipiter ovampensis
partap1,Scytalopus canus
bubpuf1,Notharchus swainsoni
pefowl1,Scotopelia peli
whbscr1,Sericornis frontalis
timgrp1,Treron psittaceus
eabowl1,Tyto javanica
ruvyuh1,Yuhina occipitalis
grefly1,Myiarchus nugator
weswah1,Foulehaio procerior
minrat1,Prioniturus mindorensis
burthr1,Geokichla dumasi
recmal1,Dasylophus superciliosus
cbmfin1,Poospizopsis caesar
gialau1,Ianthocincla maxima
shaapa2,Apalis sharpii
jambla1,Nesopsar nigerrimus
undtin1,Crypturellus undulatus
wheduc1,Aythya australis
capsug1,Promerops cafer
thbsal1,Saltator maxillosus
butsun2,Chalcomitra adelberti
anghel1,Prionops gabela
pecpip,Anthus gustavi
rubeag2,Lophotriorchis kienerii
scapig2,Patagioenas speciosa
rewfra2,Scleroptila levaillantii
klblar6,Certhilauda subcoronata
rbbeat1,Nyctyornis amictus
blltit1,Machlolophus xanthogenys
olwbul1,Pycnonotus plumosus
yefbar1,Psilopogon flavifrons
comcic5,Edolisoma rostratum
banwea1,Ploceus bannermani
spbwre2,Pheugopedius sclateri
grfhaw1,Tachyspiza soloensis
crefir3,Lophura rufa
levcuc1,Clamator levaillantii
abywhe1,Zosterops socotranus
krunut1,Sitta krueperi
towsol,Myadestes townsendi
chequt1,Cinclosoma castanotum
ochbul3,Alophoixus ruficrissus
spthum2,Thaumasius taczanowskii
whchor4,Horizocerus cassini
inirai1,Laterallus rogersi
blucra2,Anthropoides paradiseus
larsha1,Copsychus omissus
ruther1,Tigrisoma lineatum
anseag1,Spilornis elgini
spbpel1,Pelecanus philippensis
eurrob1,Erithacus rubecula
orbpar1,Neophema chrysogaster
gabfru1,Pipreola riefferii
gocspa1,Platyrinchus coronatus
horlar,Eremophila alpestris
varpit2,Pitohui kirhocephalus
bwfshr2,Hemipus hirundinaceus
moukin1,Syma megarhyncha
reccar2,Paroaria dominicana
flamec1,Regulus goodfellowi
kaynig1,Caprimulgus griseatus
grests1,Cecropis cucullata
morsun2,Cinnyris moreaui
negcus1,Edolisoma melas
whtwar1,Poliolais lopezi
gyltin1,Crypturellus duidae
thbspi1,Arachnothera crassirostris
blbflo5,Dicaeum sanguinolentum
brcdov1,Macropygia phasianella
mekwag1,Motacilla samveasnae
colpra,Glareola pratincola
atlfly1,Ficedula speculigera
grytif1,Fraseria plumbea
jamant1,Parmoptila jamesoni
ruebus1,Heterotetrax rueppelii
scbant8,Willisornis vidua
bkfbun2,Emberiza personata
witswa1,Hirundo smithii
rucela1,Elaenia ruficeps
wethil1,Oreotrochilus adela
bouwre1,Campylorhynchus jocosus
yetwoo2,Melanerpes cruentatus
martch2,Bocagia minuta
thbmin1,Geositta crassirostris
rutful1,Schoeniparus rufogularis
spweye2,Zosterops luteirostris
anchum1,Orthorhyncus cristatus
whttit1,Aegithalos niveogularis
ducfog1,Anabazenops dorsalis
runthr1,Catharus occidentalis
spemou1,Laniocera rufescens
zittyr1,Hemitriccus minimus
gybbul1,Rubigula cyaniventris
whlgna2,Polioptila albiloris
zimwoo2,Dendroplex kienerii
soucit1,Crithagra hyposticta
metfin1,Camarhynchus pauper
chobla1,Gnorimopsar chopi
redpol1,Acanthis flammea
rebpit1,Erythropitta erythrogaster
blfhaw1,Leucopternis melanops
greegr,Ardea alba
bkhcus1,Lalage melanoptera
refcoo1,Fulica rufifrons
sulwoo2,Yungipicus temminckii
crearg3,Rheinardia nigrescens
fowthr1,Myophonus insularis
soobar2,Caloramphus hayii
cintit13,Parus cinereus
cubblh1,Buteogallus gundlachii
pilfly1,Xenotriccus mexicanus
rutfla1,Ramphotrigon ruficauda
bubtan2,Stilpnia cayana
chirai1,Gallirallus modestus
gyctet1,Xanthomixis cinereiceps
madsco1,Otus rutilus
humsun2,Cinnyris humbloti
lidjay1,Garrulus lidthi
begdov2,Columbina cyanopis
rbfdov1,Ptilinopus greyi
swiwhe1,Zosterops simplex
tuakin2,Todiramphus gambieri
whnbab1,Stachyris leucotis
whbcou2,Centropus superciliosus
watswi1,Hydrochous gigas
rebhaw2,Geranoaetus polyosoma
crocis1,Cisticola natalensis
graori2,Icterus melanopsis
rorfly1,Myiophobus roraimae
banhon1,Cissomela pectoralis
chttou3,Aulacorhynchus derbianus
pohlor1,Trichoglossus rubiginosus
sstlar1,Alaudala somalica
molsta1,Aplonis mysolensis
ruwwoo1,Piculus simplex
agurew1,Acrocephalus nijoi
whbpit1,Pseudorectes incertus
buvhum1,Saucerottia hoffmanni
salant1,Myrmotherula minor
plugui1,Guttera plumifera
whthil2,Urochroa bougueri
purcoc1,Cochoa purpurea
mouwag1,Motacilla clara
somcro1,Sylvietta isabellina
lirthr1,Monticola rufocinereus
grecro1,Sylvietta virens
tactin1,Nothoprocta taczanowskii
greadj1,Leptoptilos dubius
bncwoo3,Yungipicus nanus
sporai,Pardirallus maculatus
whwcoo1,Fulica leucoptera
yenpar1,Amazona auropalliata
guafly1,Myiagra freycineti
cotcou1,Centropus cupreicaudus
borbar1,Psilopogon eximius
orwpar,Amazona amazonica
bansti1,Cladorhynchus leucocephalus
slcsee1,Sporophila schistacea
wrenti,Chamaea fasciata
thswar1,Basileuterus tristriatus
litshe8,Puffinus assimilis
whbspi1,Mazaria propinqua
nezgre1,Poliocephalus rufopectus
viotro2,Trogon violaceus
grgwar1,Helopsaltes fasciolatus
comyel,Geothlypis trichas
phinee1,Mearnsia picina
tbsfin1,Sporophila funerea
bkffir1,Lagonosticta larvata
cubtod1,Todus multicolor
rebmal1,Malimbus erythrogaster
wbhori1,Oriolus brachyrynchus
rocear1,Ochetorhynchus andaecola
pugtyr1,Muscisaxicola juninensis
whbant2,Biatas nigropectus
spqthr1,Cinclosoma punctatum
grteme1,Chlorostilbon alice
locmyn1,Basilornis corythaix
rafmal1,Rhinortha chlorophaea
rubnil1,Niltava sundara
greroa,Geococcyx californianus
buchor1,Anorrhinus galeritus
goufin3,Chloebia gouldiae
inawoo2,Nesophlox lyrura
greior2,Aegithina viridissima
legshr2,Lanius minor
isllew9,Phylloscopus maforensis
chsant1,Euchrepomis humeralis
orbman1,Lepidothrix suavissima
blacat1,Melanoptila glabrirostris
blhpar3,Psittacula roseata
labduc,Camptorhynchus labradorius
isllew10,Phylloscopus misoriensis
blksun1,Leptocoma aspasia
gybfra1,Pternistis rufopictus
brgdov1,Pampusana beccarii
wvbsun1,Anthreptes longuemarei
sbeowl1,Ketupa nipalensis
rufmou1,Rhytipterna holerythra
rubsib1,Leioptila annectens
nezfal1,Falco novaeseelandiae
tarcis1,Cisticola restrictus
sprgro,Canachites canadensis
bncscb1,Pomatorhinus phayrei
eaafie1,Pyriglena leuconota
panant1,Grallaria oneilli
kosfrd1,Ptilinopus hernsheimi
spepri1,Siptornis striaticollis
dubjac1,Brachygalba salmoni
samant1,Grallaria bangsi
titman1,Tyranneutes virescens
fuwduc,Dendrocygna bicolor
plured1,Phoenicurus fuliginosus
dobcou2,Smutsornis africanus
jafdov1,Ptilinopus jambu
webhum3,Schistes albogularis
graori4,Icterus portoricensis
vefgra1,Lampropsar tanagrinus
whbbus2,Eupodotis senegalensis
reblei,Leiothrix lutea
flcflo3,Dicaeum kampalili
crbsun2,Leptocoma minima
chemun,Lonchura atricapilla
brbhon1,Ramsayornis modestus
whtgre4,Phyllastrephus viridiceps
gobwar1,Basileuterus belli
raiqua1,Coturnix coromandelica
whwpot1,Nyctibius leucopterus
cetwar1,Cettia cetti
eulfly1,Lathrotriccus euleri
bohwhi1,Pachycephala richardsi
mouful1,Alcippe peracensis
wheimp2,Ducula perspicillata
greind1,Vidua codringtoni
whbtit5,Melaniparus albiventris
blbwoo1,Dendrocolaptes picumnus
blchum2,Eupherusa cyanophrys
jetant1,Cercomacra nigricans
broela1,Elaenia pelzelni
eurmag1,Pica pica
whbsho11,Brachypteryx floris
phfdov1,Ptilinopus porphyreus
civpih1,Lipaugus lanioides
grehyl1,Hylia prasina
olbsun3,Cinnyris chloropygius
grrpar1,Forpus passerinus
spohon3,Xanthotis polygrammus
wesbri1,Dasyornis longirostris
brispa1,Peucaea mystacalis
blupet1,Halobaena caerulea
rufthr1,Stizorhina fraseri
unifin1,Haplospiza unicolor
bubsab1,Campylopterus duidae
gnspig1,Treron oxyurus
plbpic1,Picumnus castelnau
arrpic1,Picumnus minutissimus
mamrob1,Copsychus albospecularis
brnpri2,Prinia cooki
eurbul1,Pyrrhula murina
btnhen1,Tribonyx ventralis
coleto1,Sarcops calvus
horcoo1,Fulica cornuta
shtstr1,Lochmias nematura
capgri1,Gyps coprotheres
bicwre1,Campylorhynchus griseus
bayfly1,Phainoptila melanoxantha
miowrw2,Calamonastes undosus
paibun,Passerina ciris
blfshe1,Chionis minor
sbwrai1,Aramides saracura
whrvul1,Gyps bengalensis
cursan,Calidris ferruginea
rucant3,Pittasoma rufopileatum
buttro1,Trogon comptus
srlwoo1,Tephrodornis affinis
blagra1,Amytornis housei
buswoo1,Pardipicus nivosus
grypep2,Polyplectron bicalcaratum
pabhor2,Furnarius torridus
shtalb,Phoebastria albatrus
eargre,Podiceps nigricollis
gbhgul2,Ichthyaetus ichthyaetus
lafvul1,Torgos tracheliotos
granig3,Antrostomus ekmani
drasis2,Crithagra symonsi
lemdov2,Aplopelia larvata
spbtou1,Selenidera maculirostris
meabun1,Emberiza cioides
whcpet1,Procellaria aequinoctialis
vereag1,Aquila verreauxii
baleag,Haliaeetus leucocephalus
whtfly1,Empidonax albigularis
lebsee1,Crithagra citrinipectus
graspa,Ammodramus savannarum
drahem1,Pseudospingus xanthophthalmus
manrew1,Acrocephalus tangorum
shtfly1,Poecilotriccus sylvia
blwtan1,Tangara johannae
sttyuh1,Yuhina gularis
crcdov1,Reinwardtoena crassirostris
macshr1,Lanius mackinnoni
cinwea1,Ploceus badius
lishao1,Ninox sumbaensis
ashmyz1,Myzomela cineracea
supsun2,Cinnyris superbus
olbtan1,Mitrospingus oleagineus
tacgrt1,Muscisaxicola griseus
jelcht1,Silvicultrix jelskii
bicthr,Catharus bicknelli
whfant2,Myrmotherula axillaris
pltsun3,Anthreptes griseigularis
delpig1,Columba delegorguei
syrwoo1,Dendrocopos syriacus
larwoo1,Tephrodornis virgatus
monlar2,Mirafra passerina
blusee4,Amaurospiza aequatorialis
rufwhe1,Tephrozosterops stalkeri
lepchi,Tympanuchus pallidicinctus
whbant6,Myrmoborus leucophrys
orbfly1,Nephelomyias lintoni
colpuf1,Bucco capensis
recsun2,Cinnyris erythrocercus
greaki3,Akialoa lanaiensis
oltthr1,Zoothera lunulata
rucnig1,Caprimulgus rufigena
gripig1,Ducula aenea
paradi3,Lycocorax obiensis
purgre2,Granatina ianthinogaster
pbipig1,Ducula poliocephala
sencou1,Centropus senegalensis
smftof1,Poecilotriccus fumifrons
whgpig1,Treron formosae
brbsan,Calidris falcinellus
shaaka1,Sheppardia sharpei
tubmot1,Eumomota superciliosa
cocthr1,Turdus fumigatus
puwrol1,Coracias temminckii
tumfin1,Poospiza baeri
bkttro2,Trogon mesurus
sbsbab1,Pomatorhinus superciliaris
whhvul1,Trigonoceps occipitalis
fulwre1,Cinnycerthia fulva
hislic1,Coccyzus longirostris
casvir,Vireo cassinii
dwawhi1,Pachycare flavogriseum
burowl,Athene cunicularia
chbmon1,Monarcha castaneiventris
whsant1,Akletos melanoceps
dubsee1,Sporophila ardesiaca
whrsha,Copsychus malabaricus
yebgre3,Criniger olivaceus
whnswi1,Streptoprocne semicollaris
varfly,Empidonomus varius
wrbhor2,Tockus kempi
strbow1,Amblyornis subalaris
vegfin2,Platyspiza crassirostris
smtfin1,Camarhynchus parvulus
phicod1,Streptopelia dusumieri
retlau1,Trochalopteron milnei
baugre1,Phyllastrephus baumanni
broqua1,Synoicus ypsilophorus
bukwoo1,Scolopax bukidnonensis
comcic6,Edolisoma remotum
grbbec1,Pachyramphus viridis
eabwar1,Phylloscopus orientalis
grypar,Perdix perdix
cibbun1,Emberiza tahapisi
yethon1,Nesoptilotis flavicollis
mapphe1,Polyplectron malacense
yeffla1,Chrysocolaptes xanthocephalus
whbwoo1,Dendrocopos leucotos
deswhe1,Oenanthe deserti
whtsun1,Aglaeactis castelnaudii
whnpar2,Arborophila gingica
leskes1,Falco naumanni
rotmyz2,Myzomela irianawidodoae
olhwea1,Ploceus olivaceiceps
rinkin1,Megaceryle torquata
flbvir1,Vireo nanus
norpot1,Nyctibius jamaicensis
blbcon1,Conirostrum sitticolor
whcter1,Sterna repressa
babwar,Setophaga castanea
mowowl1,Strix ocellata
eurmag3,Pica mauritanica
taibar2,Psilopogon nuchalis
oaxspa1,Aimophila notosticta
blatin1,Tinamus osgoodi
chbgna1,Conopophaga aurita
retsun2,Nectarinia johnstoni
yebwar3,Phylloscopus inornatus
pygsun2,Hedydipna platura
yeclov,Agapornis personatus
dobplo1,Anarhynchus bicinctus
forswa2,Atronanus fuliginosus
yebcho1,Pyrrhocorax graculus
rabcur2,Mitu tuberosum
olitan1,Chlorothraupis carmioli
varsee3,Sporophila corvina
cozvir1,Vireo bairdi
guipuf1,Notharchus macrorhynchos
btfgle1,Automolus ochrolaemus
blagro1,Lyrurus tetrix
dwajay1,Cyanolyca nanus
dustet1,Crossleyia tenebrosa
benbuw1,Locustella seebohmi
bubher1,Phaethornis subochraceus
brocow,Molothrus aeneus
oussun2,Cinnyris oustaleti
cargra2,Amytornis dorotheae
timori3,Oriolus finschi
baywea1,Ploceus philippinus
whwswa1,Tachycineta albiventer
wibant1,Myrmornis torquata
dorgos1,Megatriorchis doriae
aspsta3,Gracupica jalla
cantow,Melozone fusca
whbtan1,Neothraupis fasciata
bonthr2,Zoothera terrestris
andavo1,Recurvirostra andina
rultyr1,Phylloscartes flaviventris
orifin1,Linurgus olivaceus
yucpoo1,Nyctiphrynus yucatanicus
wcptit1,Remiz coronatus
arafan2,Rhipidura semicollaris
satthr1,Turdus olivaceofuscus
rutant2,Chamaeza ruficauda
glwgul,Larus glaucescens
fulant1,Frederickena fulva
aznjay1,Cyanocorax heilprini
temsun1,Aethopyga temminckii
whmbar1,Capito hypoleucus
pefpar1,Eupsittula aurea
rudtre1,Margarornis rubiginosus
whfibi,Plegadis chihi
aspswi1,Cypsiurus balasiensis
blbmyz1,Myzomela erythromelas
purswa6,Porphyrio melanotus
plsvir,Vireo plumbeus
martit2,Poecile palustris
whnsee1,Sporophila fringilloides
spiwaa1,Hypocnemis striata
solpet1,Pterodroma solandri
resswa2,Petrochelidon perdita
lobcor1,Cacatua tenuirostris
blrwar1,Acrocephalus dumetorum
cubcro1,Corvus nasicus
placha,Ortalis vetula
sacmel1,Meliarchus sclateri
azwmag2,Cyanopica cyanus
bearos1,Carpodacus pulcherrimus
rucemu1,Stipiturus ruficeps
cherai1,Gallirallus castaneoventris
hoosis1,Spinus magellanicus
kawpar1,Amazona kawalli
afrski1,Rynchops flavirostris
yelrai,Coturnicops noveboracensis
pybfly1,Ficedula hodgsoni
calrai1,Gallirallus calayanensis
reucus1,Lalage newtoni
cibspi1,Synallaxis hypospodia
stbwoo4,Dendrocopos atratus
sinspa1,Passer pyrrhonotus
prgwea1,Ploceus princeps
bcmtan1,Cnemathraupis eximia
sltgna1,Polioptila schistaceigula
galpet,Pterodroma phaeopygia
souhyl1,Hyliota australis
mouflo1,Diglossa mystacalis
blaspi1,Telacanthura melanopygia
bsbeye1,Phlegopsis nigromaculata
bktshr1,Clytorhynchus nigrogularis
cavswi3,Collocalia dodgei
crywar1,Cryptosylvicola randrianasoloi
mesowl1,Otus mentawi
bltcot1,Carpodectes hopkei
swagre1,Thescelocichla leucopleura
lamtan1,Anisognathus lacrymosus
giakin1,Tyrannus cubensis
chbmal2,Phaenicophaeus curvirostris
scafru1,Ampelioides tschudii
mirthr1,Monticola angolensis
magwar,Setophaga magnolia
polswi1,Aerodramus leucophaeus
olccre1,Melanopareia maximiliani
rubmon1,Neoxolmis rubetra
palpep1,Polyplectron napoleonis
redava,Amandava amandava
purswa1,Porphyrio porphyrio
islthr40,Turdus xanthopus
marspa1,Loddigesia mirabilis
slclon1,Toxorhamphus poliopterus
mobfin1,Atlapetes albofrenatus
sobeat1,Merops revoilii
musduc1,Biziura lobata
